park,row,col,original_filename,new_filename,ride_name,uncertain
magic_kingdom,8,2,magic_kingdom_r8_c2.png,a_pirates_adventure_treasures_of_the_seven_seas.png,A Pirates Adventure Treasures of the Seven Seas,
magic_kingdom,8,3,magic_kingdom_r8_c3.png,the_magic_carpets_of_aladdin_alt.png,The Magic Carpets of Aladdin alt,Y
magic_kingdom,8,4,magic_kingdom_r8_c4.png,swiss_family_treehouse.png,Swiss Family Treehouse,
magic_kingdom,8,5,magic_kingdom_r8_c5.png,country_bear_jamboree.png,Country Bear Jamboree,
epcot,1,1,epcot_r1_c1.png,project_tomorrow.png,Project Tomorrow,
epcot,1,2,epcot_r1_c2.png,spaceship_earth.png,Spaceship Earth,
epcot,1,3,epcot_r1_c3.png,imageworks.png,ImageWorks,
epcot,1,4,epcot_r1_c4.png,journey_into_imagination.png,Journey Into Imagination,
epcot,1,5,epcot_r1_c5.png,short_film_festival.png,Short Film Festival,
epcot,1,6,epcot_r1_c6.png,mickey_and_friends.png,Mickey & Friends,
epcot,2,1,epcot_r2_c1.png,awesome_planet.png,Awesome Planet,
epcot,2,2,epcot_r2_c2.png,journey_of_water.png,Journey of Water,
epcot,2,3,epcot_r2_c3.png,living_with_the_land.png,Living with the Land,
epcot,2,4,epcot_r2_c4.png,seabase_aquarium.png,SeaBase Aquarium,
epcot,2,5,epcot_r2_c5.png,soarin.png,Soarin,
epcot,2,6,epcot_r2_c6.png,the_seas_with_nemo_and_friends.png,The Seas with Nemo & Friends,
epcot,3,1,epcot_r3_c1.png,the_seas_with_nemo_and_friends_2.png,The Seas with Nemo & Friends,
epcot,3,2,epcot_r3_c2.png,turtle_talk_with_crush.png,Turtle Talk with Crush,
epcot,3,3,epcot_r3_c3.png,bruces_shark_world.png,Bruces Shark World,
epcot,4,1,epcot_r4_c1.png,mission_space.png,Mission SPACE,
epcot,4,2,epcot_r4_c2.png,guardians_of_the_galaxy_cosmic_rewind.png,Guardians of the Galaxy Cosmic Rewind,
epcot,4,3,epcot_r4_c3.png,test_track.png,Test Track,
epcot,5,1,epcot_r5_c1.png,american_heritage_gallery.png,American Heritage Gallery,
epcot,5,2,epcot_r5_c2.png,bijutsu_kan_gallery.png,Bijutsu-kan Gallery,
epcot,5,3,epcot_r5_c3.png,canada_far_and_wide.png,Canada Far and Wide,
epcot,5,4,epcot_r5_c4.png,frozen_ever_after.png,Frozen Ever After,
epcot,5,5,epcot_r5_c5.png,gallery_of_arts_and_history.png,Gallery of Arts and History,
epcot,5,6,epcot_r5_c6.png,gran_fiesta_tour.png,Gran Fiesta Tour,
epcot,5,7,epcot_r5_c7.png,house_of_the_whispering_willows.png,House of the Whispering Willows,
epcot,6,1,epcot_r6_c1.png,meet_anna_and_elsa.png,Meet Anna and Elsa,
epcot,6,2,epcot_r6_c2.png,mexico_folk_art_gallery.png,Mexico Folk Art Gallery,
epcot,6,3,epcot_r6_c3.png,palais_du_cinema.png,Palais du Cinema,
epcot,6,4,epcot_r6_c4.png,remys_adventure.png,Remys Adventure,
epcot,6,5,epcot_r6_c5.png,ratatouille_single_rider.png,Ratatouille Single Rider,
epcot,6,6,epcot_r6_c6.png,stave_church_gallery.png,Stave Church Gallery,
epcot,6,7,epcot_r6_c7.png,kidcot_fun_stops.png,Kidcot Fun Stops,
hollywood_studios,1,1,hollywood_studios_r1_c1.png,alien_swirling_saucers.png,Alien Swirling Saucers,
hollywood_studios,1,2,hollywood_studios_r1_c2.png,beauty_and_the_beast_live_on_stage.png,Beauty and the Beast Live on Stage,Y
hollywood_studios,1,3,hollywood_studios_r1_c3.png,for_the_first_time_in_forever_frozen_sing_along.png,For the First Time in Forever Frozen Sing-Along,
hollywood_studios,1,4,hollywood_studios_r1_c4.png,indiana_jones_epic_stunt_spectacular.png,Indiana Jones Epic Stunt Spectacular,Y
hollywood_studios,1,5,hollywood_studios_r1_c5.png,voyage_of_the_little_mermaid.png,Voyage of the Little Mermaid,Y
hollywood_studios,2,1,hollywood_studios_r2_c1.png,lights_motors_action.png,Lights Motors Action,Y
hollywood_studios,2,2,hollywood_studios_r2_c2.png,edna_mode_meet_and_greet.png,Edna Mode Meet and Greet,Y
hollywood_studios,2,3,hollywood_studios_r2_c3.png,meet_olaf.png,Meet Olaf,Y
hollywood_studios,2,4,hollywood_studios_r2_c4.png,mickey_and_minnies_runaway_railway.png,Mickey and Minnies Runaway Railway,Y
hollywood_studios,2,5,hollywood_studios_r2_c5.png,millennium_falcon_smugglers_run.png,Millennium Falcon Smugglers Run,
hollywood_studios,3,1,hollywood_studios_r3_c1.png,millennium_falcon_smugglers_run_single_rider.png,Millennium Falcon Smugglers Run Single Rider,
hollywood_studios,3,2,hollywood_studios_r3_c2.png,rock_n_roller_coaster_starring_aerosmith.png,Rock n Roller Coaster Starring Aerosmith,
hollywood_studios,3,3,hollywood_studios_r3_c3.png,rock_n_roller_coaster_single_rider.png,Rock n Roller Coaster Single Rider,
hollywood_studios,3,4,hollywood_studios_r3_c4.png,slinky_dog_dash.png,Slinky Dog Dash,
hollywood_studios,3,5,hollywood_studios_r3_c5.png,star_tours_the_adventures_continue.png,Star Tours The Adventures Continue,Y
hollywood_studios,4,1,hollywood_studios_r4_c1.png,muppetvision_3d.png,MuppetVision 3D,Y
hollywood_studios,4,2,hollywood_studios_r4_c2.png,disney_junior_play_and_dance.png,Disney Junior Play and Dance,Y
hollywood_studios,4,3,hollywood_studios_r4_c3.png,star_wars_launch_bay_bb_8.png,Star Wars Launch Bay BB-8,Y
hollywood_studios,4,4,hollywood_studios_r4_c4.png,star_wars_launch_bay_darth_vader.png,Star Wars Launch Bay Darth Vader,Y
hollywood_studios,4,5,hollywood_studios_r4_c5.png,star_wars_launch_bay_chewbacca.png,Star Wars Launch Bay Chewbacca,Y
hollywood_studios,5,1,hollywood_studios_r5_c1.png,star_wars_rise_of_the_resistance.png,Star Wars Rise of the Resistance,
hollywood_studios,5,2,hollywood_studios_r5_c2.png,twilight_zone_tower_of_terror.png,Twilight Zone Tower of Terror,
hollywood_studios,5,3,hollywood_studios_r5_c3.png,toy_story_mania.png,Toy Story Mania,Y
hollywood_studios,5,4,hollywood_studios_r5_c4.png,mickey_and_minnies_runaway_railway_2.png,Mickey and Minnies Runaway Railway,
hollywood_studios,5,5,hollywood_studios_r5_c5.png,walt_disney_presents.png,Walt Disney Presents,
animal_kingdom,1,1,animal_kingdom_r1_c1.png,affection_section.png,Affection Section,
animal_kingdom,1,2,animal_kingdom_r1_c2.png,avatar_flight_of_passage.png,Avatar Flight of Passage,
animal_kingdom,1,3,animal_kingdom_r1_c3.png,conservation_station.png,Conservation Station,
animal_kingdom,1,4,animal_kingdom_r1_c4.png,dino_sue.png,Dino-Sue,
animal_kingdom,1,5,animal_kingdom_r1_c5.png,dinosaur.png,DINOSAUR,
animal_kingdom,2,1,animal_kingdom_r2_c1.png,discovery_island_trails.png,Discovery Island Trails,
animal_kingdom,2,2,animal_kingdom_r2_c2.png,expedition_everest.png,Expedition Everest,
animal_kingdom,2,3,animal_kingdom_r2_c3.png,expedition_everest_single_rider.png,Expedition Everest Single Rider,
animal_kingdom,2,4,animal_kingdom_r2_c4.png,feathered_friends_in_flight.png,Feathered Friends in Flight,
animal_kingdom,2,5,animal_kingdom_r2_c5.png,festival_of_the_lion_king.png,Festival of the Lion King,
animal_kingdom,3,1,animal_kingdom_r3_c1.png,finding_nemo.png,Finding Nemo,
animal_kingdom,3,2,animal_kingdom_r3_c2.png,gorilla_falls_exploration_trail.png,Gorilla Falls Exploration Trail,
animal_kingdom,3,3,animal_kingdom_r3_c3.png,gorilla_falls_exploration_trail_2.png,Gorilla Falls Exploration Trail,
animal_kingdom,3,4,animal_kingdom_r3_c4.png,kali_river_rapids.png,Kali River Rapids,
animal_kingdom,3,5,animal_kingdom_r3_c5.png,kilimanjaro_safaris.png,Kilimanjaro Safaris,
animal_kingdom,4,1,animal_kingdom_r4_c1.png,meet_pals_at_adventurers_outpost.png,Meet Pals at Adventurers Outpost,
animal_kingdom,4,2,animal_kingdom_r4_c2.png,meet_moana.png,Meet Moana,
animal_kingdom,4,3,animal_kingdom_r4_c3.png,navi_river_journey.png,Navi River Journey,
animal_kingdom,4,4,animal_kingdom_r4_c4.png,navi_river_journey_2.png,Navi River Journey,
animal_kingdom,4,5,animal_kingdom_r4_c5.png,the_animation_experience.png,The Animation Experience,
animal_kingdom,5,1,animal_kingdom_r5_c1.png,the_boneyard.png,The Boneyard,
animal_kingdom,5,2,animal_kingdom_r5_c2.png,the_oasis_exhibits.png,The Oasis Exhibits,
animal_kingdom,5,3,animal_kingdom_r5_c3.png,tree_of_life.png,Tree of Life,
animal_kingdom,5,4,animal_kingdom_r5_c4.png,wilderness_explorers.png,Wilderness Explorers,
animal_kingdom,5,5,animal_kingdom_r5_c5.png,wildlife_express_train.png,Wildlife Express Train,
universal_studios_florida,1,1,universal_studios_florida_r1_c1.png,hollywood_rip_ride_rockit.png,Hollywood Rip Ride Rockit,
universal_studios_florida,1,2,universal_studios_florida_r1_c2.png,despicable_me_minion_mayhem.png,Despicable Me Minion Mayhem,
universal_studios_florida,1,3,universal_studios_florida_r1_c3.png,race_through_new_york_starring_jimmy_fallon.png,Race Through New York Starring Jimmy Fallon,
universal_studios_florida,1,4,universal_studios_florida_r1_c4.png,the_bourne_stuntacular.png,The Bourne Stuntacular,
universal_studios_florida,1,5,universal_studios_florida_r1_c5.png,universal_orlandos_horror_make_up_show.png,Universal Orlandos Horror Make-Up Show,
universal_studios_florida,2,1,universal_studios_florida_r2_c1.png,harry_potter_and_the_escape_from_gringotts.png,Harry Potter and the Escape from Gringotts,
universal_studios_florida,2,2,universal_studios_florida_r2_c2.png,hogwarts_express_kings_cross_station.png,Hogwarts Express Kings Cross Station,
universal_studios_florida,2,3,universal_studios_florida_r2_c3.png,the_simpsons_ride.png,The Simpsons Ride,
universal_studios_florida,2,4,universal_studios_florida_r2_c4.png,kang_and_kodos_twirl_n_hurl.png,Kang and Kodos Twirl n Hurl,
universal_studios_florida,2,5,universal_studios_florida_r2_c5.png,et_adventure.png,ET Adventure,
universal_studios_florida,3,1,universal_studios_florida_r3_c1.png,transformers_the_ride_3d.png,TRANSFORMERS The Ride 3D,
universal_studios_florida,3,2,universal_studios_florida_r3_c2.png,transformers_the_ride_3d_2.png,TRANSFORMERS The Ride 3D,
universal_studios_florida,3,3,universal_studios_florida_r3_c3.png,revenge_of_the_mummy.png,Revenge of the Mummy,
universal_studios_florida,3,4,universal_studios_florida_r3_c4.png,fast_and_furious_supercharged.png,Fast and Furious Supercharged,
universal_studios_florida,3,5,universal_studios_florida_r3_c5.png,men_in_black_alien_attack.png,MEN IN BLACK Alien Attack,
islands_of_adventure,1,1,islands_of_adventure_r1_c1.png,the_incredible_hulk_coaster.png,The Incredible Hulk Coaster,
islands_of_adventure,1,2,islands_of_adventure_r1_c2.png,the_amazing_adventures_of_spider_man.png,The Amazing Adventures of Spider-Man,Y
islands_of_adventure,1,3,islands_of_adventure_r1_c3.png,doctor_dooms_fearfall.png,Doctor Dooms Fearfall,
islands_of_adventure,1,4,islands_of_adventure_r1_c4.png,storm_force_accelatron.png,Storm Force Accelatron,
islands_of_adventure,1,5,islands_of_adventure_r1_c5.png,dudley_do_rights_ripsaw_falls.png,Dudley Do-Rights Ripsaw Falls,
islands_of_adventure,1,6,islands_of_adventure_r1_c6.png,popeye_and_blutos_bilge_rat_barges.png,Popeye and Blutos Bilge-Rat Barges,
islands_of_adventure,1,7,islands_of_adventure_r1_c7.png,me_ship_the_olive.png,Me Ship The Olive,
islands_of_adventure,2,1,islands_of_adventure_r2_c1.png,jurassic_park_river_adventure.png,Jurassic Park River Adventure,
islands_of_adventure,2,2,islands_of_adventure_r2_c2.png,jurassic_park_discovery_center.png,Jurassic Park Discovery Center,
islands_of_adventure,2,3,islands_of_adventure_r2_c3.png,camp_jurassic.png,Camp Jurassic,
islands_of_adventure,2,4,islands_of_adventure_r2_c4.png,pteranodon_flyers.png,Pteranodon Flyers,
islands_of_adventure,2,5,islands_of_adventure_r2_c5.png,jurassic_world_velocicoaster.png,Jurassic World VelociCoaster,
islands_of_adventure,2,6,islands_of_adventure_r2_c6.png,jurassic_world_velocicoaster_single_rider.png,Jurassic World VelociCoaster Single Rider,
islands_of_adventure,2,7,islands_of_adventure_r2_c7.png,skull_island_reign_of_kong.png,Skull Island Reign of Kong,
islands_of_adventure,3,1,islands_of_adventure_r3_c1.png,the_cat_in_the_hat.png,The Cat in the Hat,
islands_of_adventure,3,2,islands_of_adventure_r3_c2.png,the_high_in_the_sky_seuss_trolley_train_ride.png,The High in the Sky Seuss Trolley Train Ride,
islands_of_adventure,3,3,islands_of_adventure_r3_c3.png,hogwarts_express_hogsmeade_station.png,Hogwarts Express Hogsmeade Station,
islands_of_adventure,3,4,islands_of_adventure_r3_c4.png,harry_potter_and_the_forbidden_journey.png,Harry Potter and the Forbidden Journey,
islands_of_adventure,3,5,islands_of_adventure_r3_c5.png,flight_of_the_hippogriff.png,Flight of the Hippogriff,
islands_of_adventure,3,6,islands_of_adventure_r3_c6.png,hagrids_magical_creatures_motorbike_adventure.png,Hagrids Magical Creatures Motorbike Adventure,
islands_of_adventure,3,7,islands_of_adventure_r3_c7.png,ollivanders_hogsmeade.png,Ollivanders Hogsmeade,
epic_universe,1,1,epic_universe_r1_c1.png,constellation_carousel.png,Constellation Carousel,
epic_universe,1,2,epic_universe_r1_c2.png,stardust_racers.png,Stardust Racers,
epic_universe,1,3,epic_universe_r1_c3.png,stardust_racers_single_rider.png,Stardust Racers Single Rider,
epic_universe,1,4,epic_universe_r1_c4.png,curse_of_the_werewolf.png,Curse of the Werewolf,
epic_universe,1,5,epic_universe_r1_c5.png,curse_of_the_werewolf_single_rider.png,Curse of the Werewolf Single Rider,
epic_universe,1,6,epic_universe_r1_c6.png,monsters_unchained_the_frankenstein_experiment.png,Monsters Unchained The Frankenstein Experiment,
epic_universe,2,1,epic_universe_r2_c1.png,dragon_racers_rally.png,Dragon Racers Rally,
epic_universe,2,2,epic_universe_r2_c2.png,fyre_drill.png,Fyre Drill,
epic_universe,2,3,epic_universe_r2_c3.png,hiccup_wing_glider.png,Hiccup Wing Glider,
epic_universe,2,4,epic_universe_r2_c4.png,meet_toothless_and_friends.png,Meet Toothless and Friends,
epic_universe,2,5,epic_universe_r2_c5.png,bowser_jr_challenge.png,Bowser Jr Challenge,
epic_universe,2,6,epic_universe_r2_c6.png,mario_kart_bowsers_challenge.png,Mario Kart Bowsers Challenge,
epic_universe,2,7,epic_universe_r2_c7.png,mario_kart_single_rider.png,Mario Kart Single Rider,
epic_universe,3,1,epic_universe_r3_c1.png,bowser_jr_challenge_2.png,Bowser Jr Challenge,
epic_universe,3,2,epic_universe_r3_c2.png,mario_kart_bowsers_challenge_2.png,Mario Kart Bowsers Challenge,
epic_universe,3,3,epic_universe_r3_c3.png,mario_kart_single_rider_2.png,Mario Kart Single Rider,
epic_universe,3,4,epic_universe_r3_c4.png,mine_cart_madness_single_rider.png,Mine-Cart Madness Single Rider,
epic_universe,3,5,epic_universe_r3_c5.png,yoshis_adventure.png,Yoshis Adventure,
epic_universe,3,6,epic_universe_r3_c6.png,harry_potter_and_the_battle_at_the_ministry.png,Harry Potter and the Battle at the Ministry,
epic_universe,3,7,epic_universe_r3_c7.png,harry_potter_ministry_single_rider.png,Harry Potter Ministry Single Rider,
_park_level,,,magic_kingdom.png,magic_kingdom.png,Magic Kingdom,
_park_level,,,epcot.png,epcot.png,EPCOT,
_park_level,,,hollywood_studios.png,hollywood_studios.png,Hollywood Studios,
_park_level,,,animal_kingdom.png,animal_kingdom.png,Animal Kingdom,
_park_level,,,universal_studios_florida.png,universal_studios_florida.png,Universal Studios Florida,
_park_level,,,islands_of_adventure.png,islands_of_adventure.png,Islands of Adventure,
_park_level,,,chronos_main_entrance.png,epic_universe_chronos_main_entrance.png,Epic Universe Chronos Main Entrance,
_park_level,,,volcano_bay.png,volcano_bay.png,Volcano Bay,
